,heart_rate,SPO,label
0,187.0,97.0,0
1,128.1,97.0,1
2,171.5,97.0,1
3,187.0,97.0,0
4,179.8,97.0,0
5,115.0,97.0,1
6,107.8,97.0,1
7,142.4,97.0,1
8,162.0,97.0,1
9,150.0,97.0,1
10,187.0,97.0,0
11,187.0,97.0,0
12,187.0,97.0,0
13,183.85,97.0,0
14,166.0,97.0,1
15,185.6,97.0,0
16,168.5,97.0,1
17,131.4,97.0,1
18,93.16666666666667,96.91666666666667,1
19,150.0,96.0,1
20,173.125,96.0,1
21,166.6,96.0,1
22,126.4,96.0,1
23,88.0,96.0,1
24,108.25,96.75,1
25,115.0,97.0,1
26,109.75,97.0,1
27,100.0,97.0,1
28,145.0,96.1,1
29,132.5,96.7,1
30,130.04166666666666,97.0,1
31,136.0,97.0,1
32,187.0,97.0,0
33,170.2,97.0,1
34,156.4,97.0,1
35,150.0,97.0,1
36,150.0,97.0,1
37,150.0,97.0,1
38,103.5,97.0,1
39,126.5,97.0,1
40,185.25,97.0,0
41,166.0,97.0,1
42,140.5,97.0,1
43,152.0,97.0,1
44,166.0,97.0,1
45,166.0,97.0,1
46,166.0,97.0,1
47,108.8,97.0,1
48,92.2,97.0,1
49,109.9,97.0,1
50,166.0,97.0,1
51,166.0,97.0,1
52,138.95833333333334,97.0,1
53,117.75,97.0,1
54,148.75,97.0,1
55,125.0,97.0,1
56,125.0,97.0,1
57,141.4,97.0,1
58,166.0,97.0,1
59,166.0,97.0,1
60,121.75,97.0,1
61,107.0,97.0,1
62,119.9,97.0,1
63,150.0,97.0,1
64,128.75,97.0,1
65,108.75,97.0,1
66,122.5,97.0,1
67,150.0,97.0,1
68,150.0,97.0,1
69,150.0,97.0,1
70,159.6,97.0,1
71,163.33333333333334,97.0,1
72,150.0,97.0,1
73,150.0,97.0,1
74,161.2,97.0,1
75,136.66666666666666,97.0,1
76,79.85,97.0,1
77,115.0,97.0,1
78,115.0,96.15,1
79,107.0,96.0,1
80,113.2,96.0,1
81,166.0,96.0,1
82,150.0,96.0,1
83,126.66666666666667,96.66666666666667,1
84,106.9,97.0,1
85,95.8,96.9,1
86,166.0,96.0,1
87,166.0,96.0,1
88,166.0,96.0,1
89,162.0,96.0,1
90,150.8,96.0,1
91,166.0,96.0,1
92,166.0,96.0,1
93,138.625,96.0,1
94,94.05,96.0,1
95,100.0,96.0,1
96,146.2,96.0,1
97,166.0,96.0,1
98,161.2,96.0,1
99,150.0,96.0,1
100,150.0,96.0,1
101,150.0,96.0,1
102,157.2,96.0,1
103,166.0,96.0,1
104,150.66666666666666,96.0,1
105,162.0,96.0,1
106,157.2,96.0,1
107,152.13333333333333,96.0,1
108,166.0,96.0,1
109,151.6,96.0,1
110,150.0,96.0,1
111,150.0,96.0,1
112,150.0,96.0,1
113,150.0,96.0,1
114,150.0,96.0,1
115,150.0,96.0,1
116,147.9,96.0,1
117,136.0,96.0,1
118,164.5,96.0,1
119,166.0,96.0,1
120,166.0,96.3,1
121,159.4,97.0,1
122,100.0,97.0,1
123,157.20000000000002,96.13333333333333,1
124,166.0,96.41666666666667,1
125,148.70833333333334,97.0,1
126,83.0,97.0,1
127,166.0,97.0,1
128,166.0,97.0,1
129,166.0,97.0,1
130,166.0,97.0,1
131,166.0,97.0,1
132,166.0,97.0,1
133,158.0,97.0,1
134,131.91666666666666,97.0,1
135,88.0,97.0,1
136,139.66666666666669,97.0,1
137,159.6,97.0,1
138,166.0,97.0,1
139,166.0,97.0,1
140,166.0,97.0,1
141,166.0,97.0,1
142,115.95,97.0,1
143,77.39999999999999,97.0,1
144,93.0,97.0,1
145,121.8,97.0,1
146,152.33333333333334,97.0,1
147,166.0,97.0,1
148,166.0,97.0,1
149,150.0,97.0,1
150,162.8,97.0,1
151,158.53333333333333,97.0,1
152,150.0,97.0,1
153,150.0,97.0,1
154,150.0,97.0,1
155,140.66666666666666,97.0,1
156,140.08333333333334,97.0,1
157,150.8,97.0,1
158,166.0,97.0,1
159,166.0,97.0,1
160,166.0,97.0,1
161,151.4,97.0,1
162,93.0,97.0,1
163,166.0,97.0,1
164,166.0,97.0,1
165,160.4,97.0,1
166,152.0,96.875,1
167,166.0,96.0,1
168,155.33333333333334,96.0,1
169,157.2,96.0,1
170,155.75,96.0,1
171,125.0,96.0,1
172,157.8,96.0,1
173,166.0,96.0,1
174,159.6,96.0,1
175,150.0,96.0,1
176,116.75,96.0,1
177,94.75,96.0,1
178,119.0,96.0,1
179,147.66666666666666,96.0,1
180,115.0,96.0,1
181,158.35,96.0,1
182,166.0,96.0,1
183,143.86666666666667,96.0,1
184,83.0,96.0,1
185,150.0,97.0,1
186,104.4,96.2,1
187,125.44444444444444,96.0,1
188,164.0,96.0,1
189,150.0,96.0,1
190,137.4,96.0,1
191,136.0,96.0,1
192,143.5,96.0,1
193,165.2,96.0,1
194,150.0,96.0,1
195,150.0,96.0,1
196,150.0,96.0,1
197,138.6,96.0,1
198,93.0,96.0,1
199,88.27777777777777,96.0,1
200,127.0,96.0,1
201,166.0,96.0,1
202,166.0,96.0,1
203,166.0,96.0,1
204,155.6,96.0,1
205,150.0,96.0,1
206,154.0,96.0,1
207,166.0,96.0,1
208,166.0,96.0,1
209,156.66666666666666,96.0,1
210,116.75,96.35,1
211,55.0,97.0,1
212,145.25,97.0,1
213,150.0,97.0,1
214,150.0,97.0,1
215,150.0,97.0,1
216,150.0,97.0,1
217,150.0,96.1,1
218,150.0,96.0,1
219,160.2777777777778,96.0,1
220,187.0,96.0,0
221,187.0,96.0,0
222,170.2,96.0,1
223,158.53333333333333,96.0,1
224,144.75,96.0,1
225,115.0,96.0,1
226,100.75,96.0,1
227,144.0,96.0,1
228,166.0,96.0,1
229,163.5,96.0,1
230,136.0,96.0,1
231,119.2,96.0,1
232,129.0,96.0,1
233,150.0,96.0,1
234,150.0,96.0,1
235,150.0,96.0,1
236,130.75,96.0,1
237,122.35,96.0,1
238,140.5,96.0,1
239,166.0,96.0,1
240,166.0,96.0,1
241,166.0,96.0,1
242,162.0,96.25,1
243,150.0,97.0,1
244,130.0,97.0,1
245,114.2,97.0,1
246,91.4,96.6,1
247,68.0,96.0,1
248,161.1,96.0,1
249,166.0,96.0,1
250,149.75,96.0,1
251,133.6,96.06666666666666,1
252,100.0,97.0,1
253,112.75,97.0,1
254,115.0,96.35,1
255,134.20000000000002,96.0,1
256,187.0,96.0,0
257,166.0,96.34275136399064,1
258,182.8,96.06855027279812,0
259,163.20000000000002,96.15995063652896,1
260,134.625,96.2999074434918,1
261,125.0,96.0,1
262,135.08333333333334,96.0,1
263,107.0,99.0,1
264,107.0,99.0,1
265,107.0,99.0,1
266,107.0,99.0,1
267,107.0,99.0,1
268,107.0,99.0,1
269,166.0,99.0,1
270,166.0,99.0,1
271,166.0,99.0,1
272,166.0,99.0,1
273,166.0,99.0,1
274,166.0,99.0,1
275,152.66666666666666,99.0,1
276,150.0,99.0,1
277,150.0,99.0,1
278,112.5,99.0,1
279,100.0,99.0,1
280,100.0,99.0,1
281,118.0,99.0,1
282,136.0,99.0,1
283,136.0,99.0,1
284,139.5,99.0,1
285,150.0,99.0,1
286,150.0,99.0,1
287,150.0,99.0,1
288,150.0,99.0,1
289,150.0,99.0,1
290,150.0,99.0,1
291,150.0,98.0,1
292,150.0,98.0,1
293,150.0,98.0,1
294,150.0,98.0,1
295,150.0,98.0,1
296,150.0,98.0,1
297,150.0,98.0,1
298,150.0,98.0,1
299,150.0,98.0,1
300,150.0,98.0,1
301,150.0,98.0,1
302,150.0,98.0,1
303,150.0,98.0,1
304,150.0,98.0,1
305,150.0,98.0,1
306,150.0,98.0,1
307,150.0,98.0,1
308,150.0,98.0,1
309,150.0,98.0,1
310,150.0,98.0,1
311,150.0,98.0,1
312,150.0,98.0,1
313,150.0,98.0,1
314,150.0,98.0,1
315,150.0,98.0,1
316,150.0,98.0,1
317,150.0,98.0,1
318,150.0,98.0,1
319,150.0,98.5,1
320,150.0,99.0,1
321,150.0,99.0,1
322,150.0,99.0,1
